city,district,neighborhood,number_of_rooms,area_sqm,building_age,price,property_type,floor,number_of_bathrooms
İzmir,Karşıyaka,Yeşilbahçe,1+1,122,48,1543000,Müstakil,2,2
İzmir,Konak,Yeşilbahçe,3+1,104,15,1759000,Rezidans,Zemin,2
İstanbul,Bakırköy,Yeşilbahçe,2+1,107,49,1790000,Rezidans,2,1
İzmir,Buca,Merkez,3+1,50,46,562000,Rezidans,4,2
İstanbul,Kadıköy,Güzeltepe,4+1,117,4,2652000,Müstakil,4,3
Ankara,Etimesgut,Bahçelievler,2+1,71,39,1106000,Müstakil,2,1
İzmir,Konak,Altıntepe,1+1,54,29,740000,Daire,2,1
Ankara,Keçiören,Yeşilbahçe,5+1,120,14,2298000,Daire,5,2
İstanbul,Kadıköy,Merkez,5+1,148,20,3088000,Daire,5,3
İstanbul,Üsküdar,Bahçelievler,3+1,97,24,2011000,Müstakil,3,1
İzmir,Bornova,Güzeltepe,3+1,84,2,1933000,Rezidans,3,3
Ankara,Etimesgut,Merkez,1+1,131,15,1949000,Rezidans,3,1
Ankara,Yenimahalle,Bahçelievler,5+1,122,27,2301000,Villa,5,3
İzmir,Konak,Merkez,4+1,63,27,831000,Müstakil,4,2
Ankara,Etimesgut,Güzeltepe,5+1,124,22,1850000,Müstakil,3,2
Ankara,Çankaya,Yeşilbahçe,3+1,61,13,1238000,Daire,1,1
İzmir,Buca,Bahçelievler,1+1,68,47,883000,Villa,5,1
İstanbul,Üsküdar,Güzeltepe,5+1,129,35,2284000,Müstakil,2,3
İzmir,Karşıyaka,Altıntepe,1+1,57,18,1050000,Daire,2,1
İstanbul,Bakırköy,Merkez,3+1,111,19,1539000,Rezidans,5,2
İzmir,Bornova,Yeşilbahçe,3+1,97,49,1325000,Müstakil,3,3
Ankara,Etimesgut,Güzeltepe,4+1,115,49,1626000,Daire,1,3
Ankara,Yenimahalle,Altıntepe,4+1,116,16,2287000,Daire,2,1
Ankara,Keçiören,Güzeltepe,3+1,98,36,1220000,Villa,2,3
İstanbul,Kadıköy,Yeşilbahçe,1+1,104,13,1568000,Rezidans,1,1
Ankara,Etimesgut,Merkez,2+1,110,29,1877000,Daire,1,2
İzmir,Karşıyaka,Merkez,5+1,80,36,1147000,Müstakil,3,3
Ankara,Çankaya,Altıntepe,5+1,97,44,1130000,Rezidans,1,2
İstanbul,Üsküdar,Altıntepe,5+1,163,0,2530000,Rezidans,1,1
İzmir,Konak,Merkez,1+1,149,43,2419000,Rezidans,4,2
İzmir,Buca,Güzeltepe,5+1,188,40,3232000,Rezidans,3,2
Ankara,Etimesgut,Yeşilbahçe,4+1,110,8,1732000,Rezidans,5,2
İstanbul,Kadıköy,Altıntepe,2+1,147,28,2984000,Müstakil,3,2
İstanbul,Üsküdar,Altıntepe,2+1,125,46,2010000,Daire,4,2
İzmir,Buca,Güzeltepe,5+1,151,7,2299000,Rezidans,2,1
İstanbul,Üsküdar,Bahçelievler,4+1,78,12,1220000,Rezidans,5,2
Ankara,Keçiören,Güzeltepe,5+1,96,31,1480000,Müstakil,4,3
Ankara,Keçiören,Bahçelievler,4+1,55,30,845000,Daire,5,1
Ankara,Keçiören,Merkez,4+1,87,4,1395000,Villa,1,1
İstanbul,Bakırköy,Merkez,4+1,130,17,1873000,Villa,3,1
İstanbul,Kadıköy,Merkez,4+1,173,7,3724000,Müstakil,1,2
İstanbul,Beşiktaş,Bahçelievler,5+1,155,44,2639000,Daire,Zemin,1
Ankara,Keçiören,Altıntepe,1+1,104,36,1944000,Rezidans,3,3
İzmir,Buca,Altıntepe,2+1,120,23,2026000,Daire,Çatı,3
Ankara,Yenimahalle,Bahçelievler,1+1,113,19,2041000,Müstakil,3,2
İzmir,Buca,Merkez,4+1,36,18,577000,Rezidans,4,2
İstanbul,Beşiktaş,Yeşilbahçe,3+1,94,22,1946000,Daire,3,1
İstanbul,Beşiktaş,Yeşilbahçe,1+1,127,48,1600000,Villa,5,2
İzmir,Karşıyaka,Altıntepe,1+1,81,42,1250000,Müstakil,5,1
İzmir,Konak,Yeşilbahçe,1+1,99,5,1560000,Müstakil,4,3
Ankara,Etimesgut,Altıntepe,1+1,110,19,1732000,Daire,4,2
Ankara,Çankaya,Merkez,1+1,91,39,1693000,Müstakil,Zemin,2
Ankara,Çankaya,Yeşilbahçe,3+1,131,6,2938000,Müstakil,3,2
İzmir,Konak,Bahçelievler,3+1,141,8,2777000,Rezidans,3,2
Ankara,Çankaya,Merkez,1+1,86,3,1437000,Daire,Zemin,3
İstanbul,Bakırköy,Güzeltepe,3+1,43,21,891000,Daire,3,1
Ankara,Çankaya,Bahçelievler,3+1,103,47,1368000,Villa,4,2
İstanbul,Bakırköy,Merkez,1+1,98,6,2048000,Daire,1,1
Ankara,Keçiören,Merkez,2+1,38,45,655000,Daire,2,1
İzmir,Bornova,Bahçelievler,4+1,106,48,1768000,Daire,1,2
Ankara,Keçiören,Yeşilbahçe,2+1,103,27,1593000,Rezidans,Çatı,2
Ankara,Yenimahalle,Merkez,5+1,119,15,2523000,Rezidans,4,3
İstanbul,Beşiktaş,Merkez,5+1,111,36,2172000,Villa,5,3
İstanbul,Bakırköy,Bahçelievler,5+1,78,18,1430000,Daire,1,1
İzmir,Bornova,Bahçelievler,4+1,62,26,1031000,Müstakil,2,3
İstanbul,Bakırköy,Bahçelievler,1+1,40,21,733000,Müstakil,4,1
Ankara,Etimesgut,Merkez,5+1,142,27,2013000,Villa,1,3
Ankara,Çankaya,Yeşilbahçe,5+1,109,25,2303000,Müstakil,4,3
İzmir,Karşıyaka,Bahçelievler,5+1,75,12,1417000,Rezidans,3,3
İstanbul,Üsküdar,Bahçelievler,3+1,107,39,1342000,Villa,Çatı,1
İstanbul,Beşiktaş,Güzeltepe,5+1,110,49,1926000,Rezidans,5,3
Ankara,Keçiören,Bahçelievler,3+1,90,22,1896000,Müstakil,3,3
Ankara,Keçiören,Yeşilbahçe,3+1,69,34,1045000,Daire,1,3
Ankara,Çankaya,Güzeltepe,3+1,101,43,1531000,Daire,Zemin,3
İstanbul,Üsküdar,Güzeltepe,5+1,51,21,731000,Daire,1,2
İzmir,Karşıyaka,Güzeltepe,4+1,99,39,1229000,Daire,4,3
Ankara,Etimesgut,Güzeltepe,2+1,99,14,2126000,Müstakil,5,3
İzmir,Karşıyaka,Güzeltepe,3+1,118,48,1436000,Müstakil,2,3
İzmir,Konak,Güzeltepe,1+1,105,4,2028000,Müstakil,2,3
Ankara,Keçiören,Merkez,2+1,85,37,1537000,Müstakil,4,1
İzmir,Karşıyaka,Yeşilbahçe,2+1,117,32,1864000,Rezidans,Çatı,3
Ankara,Keçiören,Merkez,4+1,65,7,1389000,Rezidans,3,3
İzmir,Buca,Altıntepe,4+1,97,33,1529000,Daire,1,1
İzmir,Bornova,Bahçelievler,5+1,75,2,1575000,Rezidans,Çatı,1
İzmir,Karşıyaka,Yeşilbahçe,1+1,114,1,1864000,Villa,3,1
İstanbul,Beşiktaş,Altıntepe,4+1,55,47,875000,Daire,3,2
Ankara,Çankaya,Güzeltepe,4+1,155,6,3104000,Müstakil,3,1
Ankara,Keçiören,Güzeltepe,2+1,153,40,2019000,Villa,2,3
İstanbul,Üsküdar,Merkez,1+1,93,34,1797000,Müstakil,Çatı,3
İstanbul,Üsküdar,Altıntepe,4+1,71,20,942000,Daire,5,1
İzmir,Buca,Yeşilbahçe,4+1,101,15,1892000,Daire,4,3
İstanbul,Bakırköy,Bahçelievler,2+1,90,21,1964000,Villa,4,3
Ankara,Yenimahalle,Güzeltepe,2+1,79,9,1698000,Müstakil,Çatı,1
Ankara,Çankaya,Altıntepe,5+1,107,32,1758000,Rezidans,5,2
Ankara,Yenimahalle,Merkez,4+1,61,49,714000,Rezidans,2,3
İstanbul,Kadıköy,Altıntepe,1+1,122,25,2039000,Daire,Çatı,3
İstanbul,Kadıköy,Merkez,5+1,130,42,2157000,Villa,Çatı,2
İzmir,Karşıyaka,Merkez,4+1,142,15,2269000,Daire,Zemin,1
İzmir,Buca,Merkez,3+1,106,44,1338000,Müstakil,4,2
Ankara,Etimesgut,Bahçelievler,5+1,101,44,1641000,Daire,2,1
İstanbul,Bakırköy,Merkez,5+1,73,47,1105000,Daire,Zemin,3
İzmir,Buca,Altıntepe,5+1,113,12,2112000,Rezidans,Zemin,1
İstanbul,Beşiktaş,Merkez,2+1,119,17,2481000,Müstakil,1,2
İzmir,Karşıyaka,Merkez,4+1,139,25,2066000,Rezidans,Zemin,1
İzmir,Bornova,Yeşilbahçe,1+1,95,37,1567000,Müstakil,2,1
İstanbul,Kadıköy,Altıntepe,2+1,69,18,1454000,Villa,2,1
Ankara,Yenimahalle,Bahçelievler,5+1,99,44,1559000,Villa,Zemin,3
Ankara,Etimesgut,Güzeltepe,5+1,119,22,1900000,Villa,2,1
İstanbul,Beşiktaş,Merkez,2+1,77,26,1592000,Daire,Çatı,3
Ankara,Keçiören,Bahçelievler,4+1,117,22,2261000,Müstakil,3,1
İstanbul,Kadıköy,Bahçelievler,5+1,106,26,1992000,Rezidans,3,1
İstanbul,Beşiktaş,Yeşilbahçe,2+1,85,41,1503000,Daire,1,2
Ankara,Yenimahalle,Bahçelievler,1+1,96,35,1341000,Rezidans,Çatı,3
İstanbul,Üsküdar,Altıntepe,2+1,137,33,2546000,Müstakil,4,3
İstanbul,Üsküdar,Bahçelievler,1+1,106,28,1418000,Rezidans,Çatı,2
İzmir,Karşıyaka,Yeşilbahçe,2+1,123,0,2157000,Rezidans,3,2
Ankara,Etimesgut,Merkez,3+1,98,22,1931000,Villa,2,2
İstanbul,Üsküdar,Yeşilbahçe,3+1,103,30,1898000,Müstakil,5,2
İstanbul,Bakırköy,Güzeltepe,4+1,90,15,1536000,Daire,Çatı,2
İzmir,Karşıyaka,Bahçelievler,1+1,103,18,1866000,Rezidans,1,2
Ankara,Yenimahalle,Güzeltepe,4+1,82,28,1531000,Villa,4,2
İzmir,Konak,Merkez,5+1,104,2,2065000,Daire,2,1
İstanbul,Kadıköy,Merkez,4+1,61,22,984000,Villa,2,2
İstanbul,Beşiktaş,Yeşilbahçe,3+1,140,2,3392000,Rezidans,3,3
İstanbul,Üsküdar,Güzeltepe,2+1,129,40,1599000,Daire,4,2
İzmir,Konak,Güzeltepe,3+1,84,30,1643000,Daire,Çatı,3
İzmir,Buca,Altıntepe,1+1,115,12,1727000,Rezidans,4,3
İzmir,Konak,Bahçelievler,3+1,39,22,632000,Daire,1,3
İzmir,Bornova,Merkez,4+1,70,39,1301000,Villa,1,2
İzmir,Karşıyaka,Altıntepe,1+1,117,27,2123000,Rezidans,1,3
İzmir,Konak,Merkez,4+1,157,39,1884000,Rezidans,5,2
Ankara,Etimesgut,Güzeltepe,3+1,78,8,1464000,Daire,2,3
İstanbul,Üsküdar,Merkez,1+1,85,29,1103000,Müstakil,3,3
Ankara,Etimesgut,Güzeltepe,1+1,30,8,506000,Rezidans,5,1
İstanbul,Kadıköy,Altıntepe,3+1,127,33,1917000,Müstakil,Zemin,3
İzmir,Konak,Altıntepe,5+1,87,7,1277000,Daire,4,1
İzmir,Karşıyaka,Bahçelievler,4+1,101,16,1388000,Rezidans,Zemin,2
İzmir,Bornova,Bahçelievler,5+1,135,33,2304000,Daire,2,2
İstanbul,Bakırköy,Merkez,3+1,111,26,2045000,Müstakil,3,3
Ankara,Etimesgut,Yeşilbahçe,2+1,119,45,2121000,Müstakil,4,3
İzmir,Bornova,Bahçelievler,5+1,101,13,2039000,Müstakil,2,2
İzmir,Buca,Merkez,2+1,93,18,1891000,Daire,1,3
İstanbul,Bakırköy,Merkez,3+1,53,40,762000,Daire,3,3
İzmir,Bornova,Güzeltepe,3+1,53,6,856000,Daire,2,2
Ankara,Keçiören,Altıntepe,1+1,138,1,2543000,Villa,5,3
Ankara,Keçiören,Altıntepe,5+1,84,41,1008000,Daire,5,3
İstanbul,Beşiktaş,Güzeltepe,1+1,115,19,1904000,Villa,1,2
İstanbul,Bakırköy,Bahçelievler,4+1,155,2,3737000,Villa,3,2
Ankara,Keçiören,Merkez,3+1,144,34,2224000,Villa,Çatı,2
İstanbul,Üsküdar,Altıntepe,5+1,120,19,1954000,Daire,2,3
İzmir,Konak,Yeşilbahçe,1+1,66,17,1049000,Rezidans,2,1
İzmir,Buca,Altıntepe,3+1,121,5,2777000,Villa,2,3
İzmir,Bornova,Güzeltepe,3+1,110,8,2314000,Müstakil,2,1
İstanbul,Kadıköy,Yeşilbahçe,5+1,146,3,2519000,Daire,5,3
İzmir,Bornova,Güzeltepe,2+1,108,16,2203000,Villa,2,1
İstanbul,Üsküdar,Bahçelievler,5+1,106,30,1858000,Müstakil,Çatı,1
Ankara,Çankaya,Altıntepe,2+1,72,47,1185000,Müstakil,2,1
Ankara,Keçiören,Bahçelievler,3+1,85,13,1554000,Daire,5,3
İstanbul,Üsküdar,Bahçelievler,2+1,38,48,537000,Müstakil,5,2
Ankara,Keçiören,Merkez,1+1,103,13,1571000,Villa,Çatı,1
Ankara,Çankaya,Merkez,5+1,86,47,1516000,Rezidans,1,3
İzmir,Bornova,Merkez,5+1,74,43,866000,Rezidans,Zemin,1
İzmir,Karşıyaka,Güzeltepe,3+1,133,28,1813000,Villa,1,2
İstanbul,Kadıköy,Merkez,2+1,83,38,1106000,Müstakil,5,3
Ankara,Etimesgut,Altıntepe,2+1,33,6,539000,Müstakil,Zemin,2
İstanbul,Kadıköy,Yeşilbahçe,4+1,103,12,2225000,Rezidans,4,2
İstanbul,Kadıköy,Merkez,5+1,80,10,1857000,Rezidans,1,3
İzmir,Konak,Güzeltepe,1+1,99,29,1522000,Rezidans,1,1
Ankara,Keçiören,Merkez,4+1,123,8,2010000,Müstakil,2,1
Ankara,Yenimahalle,Yeşilbahçe,2+1,70,5,1695000,Villa,5,1
Ankara,Etimesgut,Altıntepe,2+1,118,8,1714000,Villa,Zemin,3
İstanbul,Beşiktaş,Güzeltepe,2+1,74,42,1344000,Müstakil,1,2
İzmir,Buca,Merkez,4+1,112,7,1979000,Müstakil,Zemin,2
Ankara,Etimesgut,Güzeltepe,5+1,100,19,2033000,Daire,3,2
İstanbul,Beşiktaş,Güzeltepe,4+1,104,22,1477000,Rezidans,Çatı,3
İstanbul,Kadıköy,Altıntepe,3+1,75,21,1208000,Müstakil,5,3
İzmir,Buca,Merkez,1+1,108,28,1430000,Villa,4,3
İstanbul,Üsküdar,Yeşilbahçe,3+1,78,33,1346000,Villa,4,2
İzmir,Bornova,Altıntepe,1+1,77,0,1451000,Müstakil,1,1
Ankara,Keçiören,Altıntepe,3+1,99,27,1806000,Rezidans,Çatı,1
Ankara,Yenimahalle,Altıntepe,3+1,95,19,1388000,Müstakil,5,1
Ankara,Çankaya,Bahçelievler,3+1,97,10,1765000,Daire,3,3
İzmir,Bornova,Bahçelievler,2+1,102,46,1206000,Daire,1,3
İstanbul,Bakırköy,Yeşilbahçe,5+1,122,42,1864000,Daire,5,3
İzmir,Karşıyaka,Yeşilbahçe,4+1,95,41,1138000,Villa,Zemin,2
Ankara,Keçiören,Altıntepe,4+1,101,5,2221000,Rezidans,3,1
İstanbul,Bakırköy,Yeşilbahçe,5+1,108,15,2012000,Daire,4,2
İstanbul,Beşiktaş,Altıntepe,1+1,137,3,2216000,Müstakil,4,3
Ankara,Yenimahalle,Güzeltepe,3+1,76,42,1319000,Daire,3,1
İstanbul,Üsküdar,Altıntepe,5+1,110,24,1778000,Rezidans,3,2
Ankara,Yenimahalle,Yeşilbahçe,4+1,137,34,2341000,Müstakil,4,2
Ankara,Keçiören,Altıntepe,2+1,84,28,1597000,Daire,4,1
Ankara,Keçiören,Yeşilbahçe,2+1,98,3,2287000,Rezidans,4,3
Ankara,Yenimahalle,Yeşilbahçe,3+1,70,0,1188000,Daire,4,2
İzmir,Karşıyaka,Merkez,4+1,94,2,2285000,Müstakil,Çatı,3
Ankara,Yenimahalle,Merkez,1+1,91,40,1095000,Villa,5,3
İzmir,Konak,Bahçelievler,2+1,80,45,1331000,Villa,Zemin,1
İzmir,Karşıyaka,Bahçelievler,5+1,122,20,2291000,Daire,5,2
İzmir,Konak,Bahçelievler,3+1,135,40,2439000,Daire,3,1
İstanbul,Beşiktaş,Bahçelievler,4+1,121,25,2438000,Rezidans,Zemin,1
İstanbul,Bakırköy,Altıntepe,4+1,57,21,1149000,Rezidans,3,3
Ankara,Etimesgut,Altıntepe,4+1,63,14,954000,Rezidans,Zemin,1
İstanbul,Kadıköy,Güzeltepe,3+1,38,2,584000,Rezidans,4,1
İstanbul,Kadıköy,Merkez,1+1,40,45,464000,Villa,Zemin,3
Ankara,Çankaya,Yeşilbahçe,4+1,117,11,1861000,Daire,4,1
İzmir,Konak,Bahçelievler,4+1,104,5,2292000,Müstakil,4,1
Ankara,Etimesgut,Yeşilbahçe,3+1,130,40,1542000,Rezidans,5,3
İzmir,Bornova,Altıntepe,3+1,140,14,2945000,Müstakil,Çatı,3
İzmir,Karşıyaka,Güzeltepe,3+1,82,10,1596000,Müstakil,4,3
İstanbul,Bakırköy,Altıntepe,2+1,164,31,3060000,Villa,Zemin,3
İstanbul,Üsküdar,Bahçelievler,2+1,125,9,2626000,Daire,2,3
Ankara,Çankaya,Bahçelievler,3+1,72,16,1119000,Daire,Zemin,3
İstanbul,Üsküdar,Güzeltepe,3+1,147,32,2847000,Rezidans,4,1
Ankara,Etimesgut,Yeşilbahçe,3+1,79,16,1703000,Villa,Zemin,1
Ankara,Yenimahalle,Güzeltepe,5+1,132,5,2569000,Daire,1,1
Ankara,Yenimahalle,Yeşilbahçe,1+1,35,26,548000,Müstakil,2,1
İstanbul,Kadıköy,Yeşilbahçe,5+1,119,4,2110000,Daire,3,1
Ankara,Keçiören,Merkez,5+1,81,32,1021000,Rezidans,1,2
Ankara,Çankaya,Yeşilbahçe,2+1,142,13,2469000,Daire,1,3
İstanbul,Bakırköy,Yeşilbahçe,5+1,128,7,2094000,Rezidans,Çatı,1
Ankara,Çankaya,Güzeltepe,4+1,130,48,1450000,Rezidans,5,3
İstanbul,Kadıköy,Yeşilbahçe,4+1,56,42,692000,Daire,2,3
İstanbul,Beşiktaş,Merkez,3+1,78,14,1555000,Müstakil,4,3
İstanbul,Bakırköy,Bahçelievler,1+1,126,1,1930000,Daire,1,2
İzmir,Bornova,Altıntepe,5+1,105,39,1559000,Daire,1,3
Ankara,Yenimahalle,Yeşilbahçe,3+1,101,4,2297000,Villa,1,1
Ankara,Yenimahalle,Yeşilbahçe,3+1,70,4,1069000,Rezidans,2,2
İstanbul,Kadıköy,Merkez,3+1,91,16,1340000,Villa,Zemin,3
İstanbul,Bakırköy,Güzeltepe,5+1,124,1,1997000,Rezidans,4,3
İstanbul,Kadıköy,Altıntepe,5+1,64,34,1030000,Daire,Çatı,3
İzmir,Karşıyaka,Bahçelievler,1+1,102,39,1374000,Daire,2,1
İstanbul,Bakırköy,Altıntepe,1+1,61,7,1002000,Villa,Çatı,1
İstanbul,Üsküdar,Güzeltepe,2+1,86,36,1225000,Rezidans,1,1
İzmir,Karşıyaka,Güzeltepe,1+1,66,21,1005000,Daire,4,3
Ankara,Keçiören,Güzeltepe,3+1,72,49,881000,Villa,2,3
İstanbul,Beşiktaş,Altıntepe,1+1,128,6,2246000,Müstakil,5,3
İzmir,Konak,Bahçelievler,1+1,107,45,1454000,Rezidans,1,3
İzmir,Konak,Yeşilbahçe,2+1,36,34,582000,Villa,2,3
İzmir,Konak,Altıntepe,3+1,84,0,2029000,Rezidans,Çatı,1
İzmir,Konak,Güzeltepe,2+1,82,32,1332000,Villa,Zemin,1
İzmir,Bornova,Güzeltepe,1+1,106,17,1439000,Müstakil,3,1
Ankara,Etimesgut,Bahçelievler,2+1,103,18,1429000,Villa,4,1
İzmir,Bornova,Yeşilbahçe,2+1,108,41,1792000,Villa,Zemin,2
İzmir,Buca,Güzeltepe,1+1,99,17,1829000,Müstakil,1,2
İzmir,Buca,Merkez,1+1,60,27,920000,Rezidans,Çatı,2
İzmir,Konak,Merkez,1+1,90,44,1652000,Müstakil,Çatı,2
Ankara,Keçiören,Altıntepe,1+1,75,0,1751000,Villa,2,1
İzmir,Konak,Güzeltepe,5+1,51,25,933000,Daire,1,2
Ankara,Keçiören,Yeşilbahçe,2+1,114,3,1718000,Müstakil,Zemin,2
İstanbul,Kadıköy,Merkez,3+1,104,47,1644000,Rezidans,Çatı,1
İzmir,Buca,Altıntepe,3+1,116,18,2137000,Villa,1,3
İstanbul,Kadıköy,Güzeltepe,4+1,127,22,2488000,Müstakil,4,2
İzmir,Konak,Merkez,2+1,148,40,2145000,Rezidans,Zemin,3
Ankara,Çankaya,Merkez,3+1,61,7,1332000,Villa,5,3
Ankara,Keçiören,Yeşilbahçe,1+1,81,3,1507000,Daire,1,2
Ankara,Çankaya,Altıntepe,5+1,157,24,3116000,Müstakil,Zemin,1
Ankara,Çankaya,Altıntepe,1+1,109,33,1837000,Müstakil,Zemin,1
İstanbul,Beşiktaş,Bahçelievler,5+1,76,39,1088000,Müstakil,5,3
İzmir,Bornova,Yeşilbahçe,1+1,94,19,2023000,Rezidans,Zemin,1
Ankara,Çankaya,Altıntepe,2+1,71,43,952000,Rezidans,Zemin,1
Ankara,Çankaya,Güzeltepe,4+1,100,1,2064000,Daire,1,1
İstanbul,Üsküdar,Bahçelievler,5+1,144,25,2366000,Villa,5,2
Ankara,Çankaya,Bahçelievler,3+1,112,43,1931000,Villa,2,3
İstanbul,Üsküdar,Merkez,4+1,49,33,751000,Daire,1,3
İstanbul,Beşiktaş,Bahçelievler,4+1,71,26,990000,Müstakil,4,2
İzmir,Buca,Altıntepe,4+1,103,8,1536000,Müstakil,Zemin,1
Ankara,Yenimahalle,Merkez,3+1,122,13,2661000,Müstakil,1,2
Ankara,Yenimahalle,Güzeltepe,3+1,70,11,1431000,Müstakil,Çatı,2
İzmir,Konak,Bahçelievler,5+1,146,39,1913000,Daire,4,3
Ankara,Çankaya,Altıntepe,1+1,80,16,1577000,Rezidans,1,1
İzmir,Buca,Altıntepe,4+1,139,10,2054000,Villa,4,3
İstanbul,Üsküdar,Güzeltepe,4+1,119,12,2192000,Villa,Çatı,2
İzmir,Konak,Altıntepe,2+1,104,38,1403000,Villa,3,3
İzmir,Buca,Altıntepe,4+1,98,6,1888000,Müstakil,2,3
İzmir,Karşıyaka,Altıntepe,3+1,66,1,1351000,Daire,5,3
İzmir,Karşıyaka,Altıntepe,5+1,94,20,1679000,Villa,2,2
İzmir,Bornova,Yeşilbahçe,1+1,85,15,1232000,Daire,2,2
İzmir,Karşıyaka,Güzeltepe,4+1,78,6,1712000,Villa,Zemin,1
İstanbul,Üsküdar,Yeşilbahçe,1+1,58,39,846000,Villa,5,1
Ankara,Etimesgut,Yeşilbahçe,1+1,116,49,1619000,Müstakil,5,1
İstanbul,Beşiktaş,Yeşilbahçe,5+1,63,2,1196000,Villa,4,2
İzmir,Buca,Bahçelievler,3+1,113,18,1609000,Daire,Zemin,1
Ankara,Yenimahalle,Yeşilbahçe,2+1,102,29,1614000,Villa,2,3
İstanbul,Bakırköy,Altıntepe,1+1,110,23,2257000,Müstakil,2,1
İzmir,Konak,Yeşilbahçe,4+1,119,15,2212000,Rezidans,Zemin,1
İzmir,Bornova,Bahçelievler,5+1,118,19,2154000,Müstakil,1,3
İzmir,Konak,Yeşilbahçe,5+1,63,18,946000,Daire,1,2
Ankara,Çankaya,Yeşilbahçe,3+1,121,40,1628000,Daire,Çatı,1
İstanbul,Üsküdar,Yeşilbahçe,1+1,174,29,2435000,Daire,5,1
İstanbul,Üsküdar,Güzeltepe,4+1,116,38,1539000,Rezidans,2,1
İstanbul,Beşiktaş,Yeşilbahçe,5+1,84,20,1255000,Rezidans,4,2
Ankara,Etimesgut,Merkez,3+1,111,10,1677000,Rezidans,3,3
İzmir,Karşıyaka,Altıntepe,1+1,137,18,1958000,Müstakil,3,3
İstanbul,Bakırköy,Altıntepe,2+1,91,6,1525000,Rezidans,5,2
Ankara,Çankaya,Altıntepe,4+1,64,44,735000,Villa,Zemin,1
Ankara,Etimesgut,Bahçelievler,5+1,89,42,1428000,Villa,5,2
İstanbul,Kadıköy,Yeşilbahçe,1+1,94,1,2091000,Daire,3,1
İstanbul,Bakırköy,Yeşilbahçe,5+1,127,25,2135000,Daire,Çatı,1
İzmir,Karşıyaka,Merkez,3+1,117,23,2065000,Rezidans,5,2
Ankara,Çankaya,Bahçelievler,5+1,110,14,1616000,Villa,5,2
Ankara,Etimesgut,Bahçelievler,5+1,105,9,1520000,Rezidans,Çatı,3
İzmir,Karşıyaka,Merkez,3+1,51,23,961000,Villa,1,3
İzmir,Buca,Merkez,1+1,67,49,1109000,Daire,2,2
İzmir,Buca,Bahçelievler,1+1,143,49,1892000,Rezidans,3,2
İzmir,Konak,Güzeltepe,2+1,95,18,1525000,Daire,2,1
Ankara,Etimesgut,Merkez,2+1,94,2,2233000,Müstakil,3,2
İzmir,Buca,Merkez,1+1,70,4,1184000,Daire,4,1
Ankara,Etimesgut,Altıntepe,1+1,136,31,1798000,Daire,Zemin,2
İzmir,Karşıyaka,Bahçelievler,4+1,54,41,638000,Müstakil,5,3
İzmir,Buca,Merkez,5+1,60,19,906000,Müstakil,5,2
İzmir,Karşıyaka,Yeşilbahçe,3+1,112,20,2343000,Müstakil,1,2
İstanbul,Üsküdar,Altıntepe,2+1,84,3,1829000,Villa,Zemin,1
Ankara,Çankaya,Altıntepe,2+1,47,27,635000,Müstakil,Çatı,2
Ankara,Keçiören,Merkez,2+1,67,11,1391000,Villa,3,3
İstanbul,Kadıköy,Merkez,2+1,134,23,2383000,Daire,2,3
Ankara,Keçiören,Yeşilbahçe,3+1,79,40,1254000,Rezidans,5,2
İstanbul,Beşiktaş,Yeşilbahçe,2+1,89,25,1739000,Daire,Zemin,2
İzmir,Konak,Merkez,4+1,130,33,1701000,Villa,Çatı,2
İstanbul,Bakırköy,Merkez,3+1,79,35,1316000,Müstakil,4,2
İstanbul,Kadıköy,Bahçelievler,5+1,103,30,1339000,Müstakil,Çatı,3
İzmir,Konak,Merkez,4+1,115,45,2070000,Rezidans,1,2
Ankara,Etimesgut,Merkez,4+1,122,23,1659000,Rezidans,Zemin,3
İstanbul,Kadıköy,Bahçelievler,4+1,79,45,1077000,Rezidans,5,2
İstanbul,Beşiktaş,Bahçelievler,1+1,107,3,2048000,Müstakil,1,2
İstanbul,Kadıköy,Güzeltepe,3+1,130,16,2179000,Rezidans,Çatı,3
İstanbul,Kadıköy,Bahçelievler,1+1,94,46,1381000,Müstakil,1,3
İstanbul,Beşiktaş,Güzeltepe,4+1,94,25,1974000,Villa,5,3
İzmir,Bornova,Yeşilbahçe,5+1,105,13,2409000,Daire,Zemin,3
Ankara,Çankaya,Güzeltepe,3+1,152,38,2155000,Rezidans,3,1
İstanbul,Bakırköy,Altıntepe,2+1,126,32,1724000,Villa,Zemin,2
İstanbul,Bakırköy,Yeşilbahçe,5+1,74,8,1129000,Daire,5,2
Ankara,Keçiören,Yeşilbahçe,1+1,61,41,866000,Villa,Zemin,2
İzmir,Bornova,Yeşilbahçe,3+1,92,7,2029000,Villa,4,1
İzmir,Buca,Yeşilbahçe,1+1,114,10,2055000,Villa,4,3
İzmir,Karşıyaka,Bahçelievler,2+1,64,21,938000,Müstakil,5,3
İstanbul,Bakırköy,Güzeltepe,4+1,114,30,1812000,Rezidans,4,2
İzmir,Konak,Yeşilbahçe,3+1,138,23,2654000,Villa,3,2
İstanbul,Bakırköy,Bahçelievler,3+1,57,19,1180000,Rezidans,3,1
İstanbul,Üsküdar,Güzeltepe,1+1,131,33,1802000,Daire,2,3
İzmir,Buca,Yeşilbahçe,5+1,97,48,1285000,Villa,2,1
Ankara,Yenimahalle,Bahçelievler,2+1,112,43,1578000,Daire,5,3
